,Tarih,Dizi Adı,Dizi Adı Uzunluğu,Dizi Adındaki Kelime Sayısı,Dizi Adında Bağlaç,Dizi Adında Yer İsmi,Dizi Adında Özel İsim,Aile,Aksiyon,Aşk,Bilim Kurgu,Dram,Gençlik,Gerilim,Komedi,Polisiye,Romantik,Tarihî,TRT 1,Kanal D,atv,Star TV,Show TV,FOX,Samanyolu TV,TV8,in_turkey,out_turkey,book_to_movie,act_count,paid_channel,Publication Day,summer_series,duration,Ödüllü,Senaristlerin Dizi Sayısı,Ödüllü Senarist Sayısı,Senaristlerin Aldığı Ödül Sayısı,Başrollerin Dizi Sayısı,Ödüllü Başrol Sayısı,Başrollerin Aldığı Ödül Sayısı,Yönetmenlerin Dizi Sayısı,Ödüllü Yönetmen Sayısı,Yönetmenlerin Aldığı Ödül Sayısı,Görüntü Yönetmenlerinin Dizi Sayısı,Yapım Şirketleri Dizi Sayısı,Besteci Dizi Sayısı,on_youtube,on_facebook,on_twitter,on_instagram,total_sm_accounts,state
0,1974.0,Kaynanalar,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,8,0,Sunday,0,58.0,0,-1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Olgun
1,1975.0,Aşk-ı Memnu,11,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,Saturday,0,58.0,1,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
2,1983.0,Kartallar Yüksek Uçar,21,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,Saturday,0,58.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
3,1983.0,Üç İstanbul,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,Sunday,-1,58.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,Başarısız
4,1984.0,Küçük Ağa,9,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,Sunday,0,58.0,1,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1.0,-1.0,0,0,0,0,0,Başarısız
5,1985.0,Acımak,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Sunday,0,215.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,2.0,-1.0,0,0,0,0,0,Başarısız
6,1985.0,Kuruntu Ailesi,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Thursday,0,215.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,3.0,-1.0,0,0,0,0,0,Kısmen Olgun
7,1985.0,Bugünün Saraylısı,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,Sunday,0,215.0,0,1.0,0,0.0,1.1666666666666667,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
8,1986.0,Dokuzuncu Hariciye Koğuşu,25,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7,0,Sunday,0,215.0,0,1.0,0,0.0,1.1428571428571428,0,0.0,1.0,0,0.0,-1.0,4.0,-1.0,0,0,0,0,0,Başarısız
9,1986.0,Çalıkuşu,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,16,0,Sunday,0,45.0,0,1.0,0,0.0,1.0625,0,0.0,1.0,0,0.0,-1.0,-1.0,1.0,0,0,0,0,0,Başarısız
